,IN_ACESSIBILIDADE_INEXISTENTE,DEF_LOCOMOCAO,DEF_AUDITIVA,DEF_VISUAL,FEDERAL,ESTADUAL,MUNICIPAL,PRIVADA,URBANA,RURAL
0,True,False,False,False,False,False,False,True,True,False
1,True,False,False,False,False,False,False,True,True,False
2,True,False,False,False,False,True,False,False,False,True
3,False,True,False,False,False,False,False,True,True,False
4,False,True,False,False,False,False,True,False,True,False
5,True,False,False,False,False,False,False,True,True,False
6,False,True,True,False,False,False,False,True,True,False
7,False,False,False,False,False,False,False,True,True,False
8,True,False,False,False,False,False,False,True,True,False
9,True,False,False,False,False,False,True,False,False,True
10,False,False,False,False,False,False,False,True,True,False
11,True,False,False,False,False,False,False,True,True,False
12,True,False,False,False,False,False,True,False,False,True
13,True,False,False,False,False,False,True,False,False,True
14,False,False,False,False,False,False,False,True,True,False
15,True,False,False,False,False,False,True,False,False,True
16,True,False,False,False,False,False,True,False,False,True
17,False,False,False,False,False,False,True,False,False,True
18,False,True,False,False,False,False,False,True,True,False
19,False,True,True,False,False,True,False,False,False,True
20,False,False,False,False,False,False,False,True,True,False
21,False,True,False,False,False,False,False,True,True,False
22,False,True,False,False,False,False,False,True,True,False
23,False,True,False,False,False,False,False,True,True,False
24,False,False,False,False,False,False,True,False,False,True
25,True,False,False,False,False,False,True,False,False,True
26,True,False,False,False,False,True,False,False,False,True
27,False,True,False,False,False,False,False,True,True,False
28,True,False,False,False,False,False,False,True,True,False
29,True,False,False,False,False,True,False,False,False,True
30,True,False,False,False,False,True,False,False,False,True
31,False,True,False,False,False,False,False,True,True,False
32,False,True,False,False,False,False,False,True,True,False
33,True,False,False,False,False,False,True,False,False,True
34,True,False,False,False,False,False,True,False,True,False
35,True,False,False,False,False,False,False,True,True,False
36,True,False,False,False,False,False,False,True,True,False
37,True,False,False,False,False,True,False,False,False,True
38,True,False,False,False,False,False,False,True,True,False
39,True,False,False,False,False,False,True,False,False,True
40,False,True,False,False,False,False,False,True,False,True
41,True,False,False,False,False,True,False,False,False,True
42,False,True,False,False,False,False,False,True,True,False
43,False,False,True,False,False,False,False,True,True,False
44,True,False,False,False,False,True,False,False,False,True
45,True,False,False,False,False,True,False,False,False,True
46,True,False,False,False,False,True,False,False,False,True
47,True,False,False,False,False,False,True,False,False,True
48,False,True,True,False,False,False,False,True,True,False
49,True,False,False,False,False,False,True,False,False,True
50,True,False,False,False,False,False,True,False,False,True
51,True,False,False,False,False,True,False,False,False,True
52,False,True,False,False,False,False,True,False,False,True
53,False,False,False,False,False,False,False,True,True,False
54,True,False,False,False,False,False,True,False,False,True
55,False,True,True,True,False,False,False,True,True,False
56,False,True,True,False,False,False,False,True,True,False
57,True,False,False,False,False,False,True,False,False,True
58,True,False,False,False,False,False,True,False,False,True
59,True,False,False,False,False,False,False,True,True,False
60,False,True,True,False,False,False,False,True,True,False
61,False,False,False,False,False,False,False,True,True,False
62,False,True,False,False,False,False,False,True,True,False
63,False,False,True,False,False,False,False,True,True,False
64,False,False,False,False,False,True,False,False,False,True
65,False,True,False,False,False,False,False,True,True,False
66,True,False,False,False,False,False,False,True,True,False
67,False,True,True,False,False,False,False,True,True,False
68,True,False,False,False,False,False,True,False,False,True
69,True,False,False,False,False,True,False,False,False,True
70,False,False,True,False,False,False,False,True,True,False
71,False,True,False,False,False,False,False,True,True,False
72,True,False,False,False,False,True,False,False,False,True
73,False,True,False,False,False,False,False,True,True,False
74,True,False,False,False,False,False,False,True,True,False
75,False,True,True,False,False,False,False,True,True,False
76,False,True,True,False,False,False,True,False,False,True
77,False,True,False,False,False,False,False,True,True,False
78,True,False,False,False,False,False,True,False,False,True
79,False,False,False,False,False,False,False,True,True,False
80,False,False,False,False,False,False,False,True,True,False
81,False,True,True,False,False,False,False,True,True,False
82,True,False,False,False,False,False,False,True,True,False
83,False,True,False,False,False,False,False,True,True,False
84,True,False,False,False,False,False,False,True,True,False
85,True,False,False,False,False,False,True,False,False,True
86,False,True,False,False,False,False,True,False,False,True
87,True,False,False,False,False,False,False,True,True,False
88,False,True,False,False,False,False,False,True,True,False
89,False,False,False,False,False,False,True,False,False,True
90,False,False,False,False,False,False,False,True,True,False
91,True,False,False,False,False,False,False,True,True,False
92,False,True,False,False,False,False,False,True,True,False
93,True,False,False,False,False,True,False,False,True,False
94,True,False,False,False,False,True,False,False,False,True
95,False,False,False,False,False,False,False,True,True,False
96,True,False,False,False,False,False,True,False,False,True
97,False,False,False,False,False,False,False,True,True,False
98,False,False,False,False,False,False,False,True,True,False
99,False,True,True,False,False,False,False,True,True,False
100,True,False,False,False,False,True,False,False,True,False
101,False,True,False,False,False,False,False,True,True,False
102,True,False,False,False,False,True,False,False,False,True
103,False,True,False,False,False,False,False,True,True,False
104,False,False,False,False,False,False,False,True,True,False
105,False,True,True,False,False,False,False,True,True,False
106,True,False,False,False,False,False,True,False,False,True
107,False,True,False,False,False,False,False,True,True,False
108,False,True,False,False,False,False,False,True,True,False
109,True,False,False,False,False,False,True,False,False,True
110,False,False,False,False,False,False,True,False,False,True
111,False,True,False,False,False,False,True,False,False,True
112,False,False,True,False,False,False,False,True,True,False
113,False,False,False,False,False,False,False,True,True,False
114,False,False,False,False,False,False,True,False,False,True
115,False,False,False,False,False,False,True,False,False,True
116,False,False,False,False,False,False,True,False,False,True
117,False,True,False,False,False,False,False,True,True,False
118,True,False,False,False,False,False,True,False,False,True
119,True,False,False,False,False,True,False,False,False,True
120,False,True,False,False,False,False,True,False,False,True
121,True,False,False,False,False,False,True,False,False,True
122,False,True,True,False,False,True,False,False,False,True
123,True,False,False,False,False,False,True,False,False,True
124,False,False,False,False,False,False,False,True,True,False
125,False,True,False,False,False,False,False,True,False,True
126,True,False,False,False,False,False,True,False,False,True
127,False,True,True,False,False,False,False,True,True,False
128,False,True,True,False,False,False,False,True,True,False
129,False,True,False,False,False,True,False,False,False,True
130,False,False,False,False,False,False,False,True,True,False
131,True,False,False,False,False,True,False,False,False,True
132,False,True,True,False,False,False,False,True,True,False
133,True,False,False,False,False,False,True,False,False,True
134,True,False,False,False,False,False,True,False,False,True
